id,geoname,rate
01,Alabama,22.9
02,Alaska,16.4
04,Arizona,19.8
05,Arkansas,23.6
06,California,14.0
08,Colorado,12.9
09,Connecticut,12.9
10,Delaware,20.8
11,District of Columbia,12.0
12,Florida,19.7
13,Georgia,17.0
15,Hawaii,15.6
16,Idaho,18.0
17,Illinois,15.0
18,Indiana,19.2
19,Iowa,17.0
20,Kansas,15.9
21,Kentucky,24.2
22,Louisiana,22.3
23,Maine,22.0
24,Maryland,13.7
25,Massachusetts,14.5
26,Michigan,20.6
27,Minnesota,15.6
28,Mississippi,26.2
29,Missouri,19.8
30,Montana,19.6
31,Nebraska,14.9
32,Nevada,16.6
33,New Hampshire,14.8
34,New Jersey,14.1
35,New Mexico,23.5
36,New York,17.7
37,North Carolina,19.6
38,North Dakota,14.3
39,Ohio,19.6
40,Oklahoma,19.1
41,Oregon,18.9
42,Pennsylvania,19.0
44,Rhode Island,20.0
45,South Carolina,21.8
46,South Dakota,15.4
47,Tennessee,19.7
48,Texas,15.4
49,Utah,12.9
50,Vermont,20.1
51,Virginia,13.8
53,Washington,14.5
54,West Virginia,28.7
55,Wisconsin,17.2
56,Wyoming,13.6
