GeoFips,GeoName,rate
01001,"Autauga, AL",21.2
01003,"Baldwin, AL",20.7
01005,"Barbour, AL",33.5
01007,"Bibb, AL",31.3
01009,"Blount, AL",25.3
01011,"Bullock, AL",33.2
01013,"Butler, AL",32.1
01015,"Calhoun, AL",29.1
01017,"Chambers, AL",32.5
01019,"Cherokee, AL",32
01021,"Chilton, AL",27.8
01023,"Choctaw, AL",36
01025,"Clarke, AL",31.8
01027,"Clay, AL",32.4
01029,"Cleburne, AL",28.1
01031,"Coffee, AL",23.1
01033,"Colbert, AL",28.8
01035,"Conecuh, AL",39.8
01037,"Coosa, AL",33
01039,"Covington, AL",32.5
01041,"Crenshaw, AL",30.2
01043,"Cullman, AL",25.8
01045,"Dale, AL",27.8
01047,"Dallas, AL",38.7
01049,"DeKalb, AL",29.9
01051,"Elmore, AL",22.1
01053,"Escambia, AL",33
01055,"Etowah, AL",31.2
01057,"Fayette, AL",37.1
01059,"Franklin, AL",29.4
01061,"Geneva, AL",32.1
01063,"Greene, AL",39.6
01065,"Hale, AL",33.2
01067,"Henry, AL",27.8
01069,"Houston, AL",24.4
01071,"Jackson, AL",28.2
01073,"Jefferson, AL",17.8
01075,"Lamar, AL",35.2
01077,"Lauderdale, AL",26.1
01079,"Lawrence, AL",30.1
01081,"Lee, AL",17.5
01083,"Limestone, AL",19.8
01085,"Lowndes, AL",31.4
01087,"Macon, AL",33.8
01089,"Madison, AL",15.5
01091,"Marengo, AL",32.5
01093,"Marion, AL",31.4
01095,"Marshall, AL",26.6
01097,"Mobile, AL",25.3
01099,"Monroe, AL",33.1
01101,"Montgomery, AL",21.7
01103,"Morgan, AL",24.2
01105,"Perry, AL",42.4
01107,"Pickens, AL",33.6
01109,"Pike, AL",24.5
01111,"Randolph, AL",34.2
01113,"Russell, AL",31.1
01115,"St. Clair, AL",22.6
01117,"Shelby, AL",13
01119,"Sumter, AL",35.6
01121,"Talladega, AL",30.8
01123,"Tallapoosa, AL",30
01125,"Tuscaloosa, AL",21.3
01127,"Walker, AL",31.9
01129,"Washington, AL",29
01131,"Wilcox, AL",43
01133,"Winston, AL",32.2
02013,"Aleutians East Borough, AK*",5.8
02016,"Aleutians West Census Area, AK*",7.2
02020,"Anchorage Municipality, AK",15
02050,"Bethel Census Area, AK*",31.8
02060,"Bristol Bay Borough, AK",8.5
02068,"Denali Borough, AK*",24.1
02070,"Dillingham Census Area, AK*",17.7
02090,"Fairbanks North Star Borough, AK",15.9
02100,"Haines Borough, AK",19.4
02105,"Hoonah-Angoon Census Area, AK*",24.9
02110,"Juneau City and Borough, AK",11.7
02122,"Kenai Peninsula Borough, AK",20.6
02130,"Ketchikan Gateway Borough, AK*",17.1
02150,"Kodiak Island Borough, AK",14.2
02158,"Kusilvak Census Area, AK*",45.9
02164,"Lake and Peninsula Borough, AK*",19.4
02170,"Matanuska-Susitna Borough, AK",15.9
02180,"Nome Census Area, AK*",30.2
02185,"North Slope Borough, AK",7.6
02188,"Northwest Arctic Borough, AK",34.8
02195,"Petersburg Borough, AK*",20.4
02198,"Prince of Wales-Hyder Census Area, AK*",23.5
02220,"Sitka City and Borough, AK",13.9
02230,"Skagway Municipality, AK*",10.7
02240,"Southeast Fairbanks Census Area, AK*",23.6
02261,"Valdez-Cordova Census Area, AK*",14.6
02275,"Wrangell City and Borough, AK*",27
02282,"Yakutat City and Borough, AK*",23
02290,"Yukon-Koyukuk Census Area, AK*",36.5
04001,"Apache, AZ",42.4
04003,"Cochise, AZ",31.9
04005,"Coconino, AZ",17.8
04007,"Gila, AZ",40.7
04009,"Graham, AZ",36.3
04011,"Greenlee, AZ",26.2
04012,"La Paz, AZ*",38.1
04013,"Maricopa, AZ",16.1
04015,"Mohave, AZ",35.6
04017,"Navajo, AZ",40.5
04019,"Pima, AZ",23.6
04021,"Pinal, AZ",28.2
04023,"Santa Cruz, AZ",24.6
04025,"Yavapai, AZ",30.8
04027,"Yuma, AZ*",22.6
05001,"Arkansas, AR",24.8
05003,"Ashley, AR",36.6
05005,"Baxter, AR",38
05007,"Benton, AR",8
05009,"Boone, AR",31.4
05011,"Bradley, AR",34.9
05013,"Calhoun, AR",29.4
05015,"Carroll, AR",29.1
05017,"Chicot, AR",40.3
05019,"Clark, AR",30.7
05021,"Clay, AR",36
05023,"Cleburne, AR",32.5
05025,"Cleveland, AR",28.9
05027,"Columbia, AR",29.4
05029,"Conway, AR",30.2
05031,"Craighead, AR",24.6
05033,"Crawford, AR",29.4
05035,"Crittenden, AR",28.5
05037,"Cross, AR",32.7
05039,"Dallas, AR",41
05041,"Desha, AR",36.5
05043,"Drew, AR",29.9
05045,"Faulkner, AR",22.8
05047,"Franklin, AR",30.3
05049,"Fulton, AR",43.9
05051,"Garland, AR",31.5
05053,"Grant, AR",25.1
05055,"Greene, AR",29.3
05057,"Hempstead, AR",33.7
05059,"Hot Spring, AR",34.9
05061,"Howard, AR",30.8
05063,"Independence, AR",31.1
05065,"Izard, AR",40.4
05067,"Jackson, AR",33.7
05069,"Jefferson, AR",33.6
05071,"Johnson, AR",32
05073,"Lafayette, AR",33
05075,"Lawrence, AR",36.2
05077,"Lee, AR",41.7
05079,"Lincoln, AR",33.3
05081,"Little River, AR",32.8
05083,"Logan, AR",37
05085,"Lonoke, AR",22.9
05087,"Madison, AR",25
05089,"Marion, AR",42
05091,"Miller, AR",28.6
05093,"Mississippi, AR",41.3
05095,"Monroe, AR",42.5
05097,"Montgomery, AR",39
05099,"Nevada, AR",38.1
05101,"Newton, AR",40
05103,"Ouachita, AR",33.7
05105,"Perry, AR",30.8
05107,"Phillips, AR",44.6
05109,"Pike, AR",34.2
05111,"Poinsett, AR",38
05113,"Polk, AR",37.1
05115,"Pope, AR",27
05117,"Prairie, AR",32.6
05119,"Pulaski, AR",19.8
05121,"Randolph, AR",37
05123,"St. Francis, AR",38.2
05125,"Saline, AR",23.4
05127,"Scott, AR",34.7
05129,"Searcy, AR",45.7
05131,"Sebastian, AR",23.3
05133,"Sevier, AR",27.5
05135,"Sharp, AR",45.4
05137,"Stone, AR",44
05139,"Union, AR",25.4
05141,"Van Buren, AR",40.8
05143,"Washington, AR",16.9
05145,"White, AR",28.3
05147,"Woodruff, AR",38.3
05149,"Yell, AR",31.4
06001,"Alameda, CA",11.3
06003,"Alpine, CA",20.5
06005,"Amador, CA",24.6
06007,"Butte, CA",25.3
06009,"Calaveras, CA",24.6
06011,"Colusa, CA",17.1
06013,"Contra Costa, CA",10.5
06015,"Del Norte, CA",33.7
06017,"El Dorado, CA",13.8
06019,"Fresno, CA",22.9
06021,"Glenn, CA",21.5
06023,"Humboldt, CA",22.6
06025,"Imperial, CA",25.4
06027,"Inyo, CA",20.1
06029,"Kern, CA",19.9
06031,"Kings, CA",21.3
06033,"Lake, CA",31.5
06035,"Lassen, CA",24.7
06037,"Los Angeles, CA",15.9
06039,"Madera, CA",20.6
06041,"Marin, CA",6.7
06043,"Mariposa, CA",24.1
06045,"Mendocino, CA",25.5
06047,"Merced, CA",23.6
06049,"Modoc, CA",30.6
06051,"Mono, CA",10.1
06053,"Monterey, CA",13.7
06055,"Napa, CA",12
06057,"Nevada, CA",18
06059,"Orange, CA",10.7
06061,"Placer, CA",13
06063,"Plumas, CA",26.8
06065,"Riverside, CA",18.7
06067,"Sacramento, CA",19
06069,"San Benito, CA",13.2
06071,"San Bernardino, CA",20.3
06073,"San Diego, CA",13.7
06075,"San Francisco, CA",7
06077,"San Joaquin, CA",21.8
06079,"San Luis Obispo, CA",14.5
06081,"San Mateo, CA",5.7
06083,"Santa Barbara, CA",12.3
06085,"Santa Clara, CA",6.9
06087,"Santa Cruz, CA",12.2
06089,"Shasta, CA",29.2
06091,"Sierra, CA",24.2
06093,"Siskiyou, CA",31.8
06095,"Solano, CA",17.1
06097,"Sonoma, CA",14.2
06099,"Stanislaus, CA",20.6
06101,"Sutter, CA",20.9
06103,"Tehama, CA",26.9
06105,"Trinity, CA",35.7
06107,"Tulare, CA",22.9
06109,"Tuolumne, CA",26.3
06111,"Ventura, CA",12.8
06113,"Yolo, CA",13.7
06115,"Yuba, CA",28.8
08001,"Adams, CO*",15.5
08003,"Alamosa, CO",26.1
08005,"Arapahoe, CO",11.8
08007,"Archuleta, CO",23.1
08009,"Baca, CO",30.9
08011,"Bent, CO",32.4
08013,"Boulder, CO*",8.7
08014,"Broomfield, CO*",8.5
08015,"Chaffee, CO",20.7
08017,"Cheyenne, CO",14.2
08019,"Clear Creek, CO",11.7
08021,"Conejos, CO",30.5
08023,"Costilla, CO",37
08025,"Crowley, CO",36.1
08027,"Custer, CO",27.4
08029,"Delta, CO",26.3
08031,"Denver, CO",9.9
08033,"Dolores, CO",26.8
08035,"Douglas, CO",6.8
08037,"Eagle, CO",5.4
08039,"Elbert, CO",10.8
08041,"El Paso, CO",16.9
08043,"Fremont, CO",30.8
08045,"Garfield, CO",10.8
08047,"Gilpin, CO",13.2
08049,"Grand, CO",12.5
